virus,realm,locus_tag,host,type,shape,corr,p.value
Shigella phage pSs-1,Duplodnaviria,pSs1,bacteria,DNA,circular,-0.301694915254237,0.0205752252163665
Escherichia phage ST32,Duplodnaviria,HOR81,bacteria,DNA,circular,-0.0969608416130918,0.464027335541306
Canary circovirus,Monodnaviria,CaCVgp,vertebrates,ss-DNA,circular,-0.15020455873758,0.259649462715362
Enterococcus phage phiEf11,Duplodnaviria,PHIEF11,bacteria,DNA,linear,-0.441729982466394,0.000523052028548394
Camelpox virus,Varidnaviria,CamMLVgp,human:vertebrates,DNA,linear,-0.461309175920514,0.000275243519230144
Brown greater galago prosimian foamy virus,Riboviria,D1U22,vertebrates,DNA,linear,-0.444652250146113,0.000476331069695531
Escherichia phage HZP2,Duplodnaviria,HOV21,bacteria,DNA,linear,0.0887200467562829,0.502993899435322
Mycobacterium phage DillTech15,Duplodnaviria,I5H27,bacteria,DNA,linear,0.452074810052601,0.000374249095194232
Passerivirus sp.,NA,C1173,NA,RNA,linear,-0.161192285213326,0.221977609002291
Mongoose feces-associated gemycircularvirus c,Monodnaviria,XM20,human:vertebrates,DNA,linear,-0.233080070134424,0.0757637193076154
White-eye coronavirus HKU16,Riboviria,WECoV,vertebrates,RNA,linear,-0.236002337814144,0.0720871450972162
Hubei sobemo-like virus 3,Riboviria,BVB24,vertebrates,RNA,linear,0.0922852133255406,0.485931071931764
Boerhavia yellow spot virus,Monodnaviria,D1Q62,land plants,DNA,circular,-0.184745762711864,0.160923887804693
Human betaherpesvirus 7,Duplodnaviria,HHV7,human,DNA,linear,-0.453302162478083,0.00035943965180602
Gordonia phage MelBins,Duplodnaviria,J1771,bacteria,DNA,linear,0.450379894798364,0.000395617026531361
Pigeonpea sterility mosaic emaravirus 2,Riboviria,BC339,land plants,cRNA,linear,-0.421637085114891,0.00108123624453777
Pigeonpea sterility mosaic emaravirus 2,Riboviria,BC339,land plants,RNA,linear,-0.421637085114891,0.00108123624453777
crAssphage cr111 1,NA,KNV38,NA,NA,NA,-0.321800116890707,0.013270197500821
Corynebacterium phage phi673,Duplodnaviria,FGG65,bacteria,DNA,linear,0.00631209818819404,0.962211798822338
Detrevirus PMG1,Duplodnaviria,PMG1,bacteria,NA,NA,0.395558153126827,0.00207768982967753
Drosophila subobscura Nora virus,Riboviria,IU36,invertebrates,RNA,linear,-0.499883109292811,6.96280179937861e-05
Wenzhou picorna-like virus 32,Riboviria,BWS78,invertebrates,RNA,linear,-0.317592051431911,0.0145786070972568
Mannheimia phage vB MhS 587AP2,NA,AU484,NA,NA,NA,-0.365575686732905,0.00463536793869408
Streptomyces phage Alsaber,Duplodnaviria,KGG97,bacteria,DNA,linear,0.577994227994228,5.843301486105e-06
Acinetobacter phage WCHABP1,Duplodnaviria,FDH91,bacteria,DNA,circular,-0.364815897136178,0.00472636191511727
Gordonia phage Ailee,Duplodnaviria,KNU17,bacteria,DNA,linear,0.449210987726476,0.000410996213859128
Potato yellow vein virus,Riboviria,PYVV,land plants,ss-RNA,linear,-0.394798363530099,0.00212222081754466
Fengkai orbivirus,Riboviria,AMQ96,invertebrates,RNA,linear,-0.585680888369375,1.81765974376107e-06
Beihai picorna-like virus 84,Riboviria,BVJ87,invertebrates,RNA,linear,0.255529238057153,0.0531295641305314
Cryphonectria hypovirus 1,Riboviria,CHV1gp,fungi,ds-RNA,linear,0.0168322618351841,0.899166048185631
Desmodium mottle virus,Monodnaviria,D1U04,land plants,DNA,circular,-0.377849210987727,0.00336570517376659
Mycobacterium phage Mule,NA,JMN80,NA,DNA,linear,0.542489772063121,1.26755256092029e-05
Human papillomavirus 178,Monodnaviria,DK21,human,DNA,linear,-0.456867329047341,0.000319405898410052
Oropouche virus,Riboviria,OROV,human:invertebrates:vertebrates,RNA,linear,-0.434716540035067,0.000652683052126819
Oropouche virus,Riboviria,OROV,human:invertebrates:vertebrates,ss-RNA,linear,-0.434716540035067,0.000652683052126819
Lactococcus phage 38503,Duplodnaviria,HYP28,bacteria,DNA,linear,-0.380888369374635,0.00310371414146514
Wenling narna-like virus 3,Riboviria,BWT43,invertebrates,RNA,linear,-0.314260666277031,0.0156919910190974
Antarctic picorna-like virus 2,NA,A9K90,NA,ss-RNA,linear,-0.179135008766803,0.174193999523536
Penaeus vannamei nodavirus,Riboviria,PvNVsRNA,invertebrates,ss-RNA,linear,-0.301344243132671,0.0207282887146959
Fragaria chiloensis cryptic virus,NA,FCCV,NA,RNA,linear,-0.0542957334891876,0.682218259990237
Beihai anemone virus 1,NA,BVE94,NA,RNA,linear,-0.304383401519579,0.0194334760026901
Niakha virus,NA,OI45,NA,RNA,linear,-0.444418468731736,0.000479923754059694
Murine adeno-associated virus 2,Monodnaviria,KM651,vertebrates,DNA,linear,0.228872004675628,0.0813196417005103
Mossman virus,Riboviria,MV,vertebrates,RNA,linear,-0.435008766803039,0.000646746401091655
Simian hemorrhagic fever virus,Riboviria,SHFVgp,vertebrates,RNA,linear,0.0870251315020456,0.511213197253081
Tomato leaf curl New Delhi virus 2,Monodnaviria,D1Q92,land plants,DNA,circular,-0.228872004675628,0.0813196417005105
Staphylococcus phage 71,NA,ST71ORF0,NA,NA,NA,-0.436469900642899,0.000617792738836939
Salmonella phage vB SenS BPS1,NA,JT336,NA,NA,NA,0.306545879602572,0.0185548582171533
Bovine polyomavirus 3,Monodnaviria,RC69,vertebrates,DNA,circular,-0.438892686261107,0.000801964681999731
Muir Springs virus,Riboviria,KM693,invertebrates,RNA,linear,-0.435476329631794,0.000637349777621275
